rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
EY1 SH AH0 N	1	575	information	5.43	information (5.4),  corp (4.3),  corp. (4.3),  haitian (3.4)	information, education, situation, association, population, station, administration, operation, organization, nation, application, location, generation, foundation, conversation, investigation, communication, combination, corporation, transportation, creation, legislation, formation, immigration, reputation, publication, explanation, inspiration, vacation, translation, regulation, organisation, representation, compensation, conservation, participation, innovation, preparation, registration, discrimination, implementation, presentation, relation, cooperation, celebration, collaboration, consideration, concentration, corp, corp., radiation, examination, federation, destination, imagination, integration, interpretation, motivation, evaluation, transformation, occupation, exploration, animation, classification, identification, aviation, determination, installation, d'aviation, medication, violation, duration, inflation, invitation, migration, observation, self-determination, separation, appreciation, restoration, declaration, recommendation, confirmation, rotation, variation, graduation, nomination, obligation, accommodation, demonstration, indication, orientation, recreation, navigation, consultation, isolation, resignation, adaptation, civilization, preservation, donation, expectation, rehabilitation, speculation, certification, configuration, frustration, dedication, revelation, documentation, meditation, reservation, salvation, simulation, elimination, litigation, delegation, illustration, notification, liberation, coordination, elevation, sensation, qualification, correlation, compilation, manipulation, exploitation, activation, justification, assassination, citation, congregation, decoration, taxation, automation, probation, negotiation, modification, vegetation, calculation, cancellation, designation, specification, valuation, allocation, anticipation, authorization, evacuation, renovation, acceleration, inflammation, termination, arbitration, confrontation, plantation, realization, reconciliation, temptation, consolidation, continuation, limitation, penetration, relaxation, contamination, dissertation, domination, stimulation, verification, irrigation, validation, insulation, optimization, mutation, precipitation, affiliation, cultivation, proliferation, regeneration, accusation, degradation, segregation, ventilation, accumulation, admiration, vaccination, vibration, deportation, inauguration, relocation, sanitation, implication, interrogation, desperation, hesitation, humiliation, retaliation, accreditation, clarification, consolation, characterization, reformation, condemnation, initiation, starvation, mediation, pronunciation, quotation, allegation, utilization, differentiation, expiration, fabrication, fascination, formulation, experimentation, imitation, moderation, notation, estimation, excavation, globalization, instrumentation, masturbation, mitigation, confederation, coronation, deprivation, proclamation, manifestation, annexation, incarnation, irritation, replication, ordination, deviation, incorporation, legalization, appropriation, intimidation, oxidation, defamation, constellation, depreciation, inclination, saturation, colonization, incarceration, modernization, unification, authentication, computation, haitian, illumination, calibration, devastation, propagation, visitation, alteration, reorganization, approximation, croatian, escalation, narration, visualization, complication, dehydration, denomination, filtration, aspiration, exaggeration, fermentation, stabilization, commemoration, modulation, ovation, punctuation, purification, specialization, emancipation, fixation, gratification, localization, misinformation, mobilization, privatization, sophistication, culmination, dissemination, liquidation, multiplication, polarization, remuneration, appalachian, cessation, emigration, affirmation, infiltration, fragmentation, segmentation, transplantation, annihilation, diversification, generalization, deforestation, vocation, agitation, assimilation, provocation, stagnation, hydration, refrigeration, deregulation, infestation, mutilation, ration, solicitation, alienation, deformation, duplication, telecommunication, contemplation, incubation, reincarnation, abbreviation, ratification, reclamation, abomination, extermination, flotation, altercation, amplification, capitalization, condensation, constipation, degeneration, eradication, inhalation, intoxication, adoration, disqualification, synchronization, causation, improvisation, privatisation, sterilization, articulation, exclamation, hospitalization, irradiation, reunification, standardization, amalgamation, evaporation, indignation, industrialization, cremation, deliberation, detonation, repatriation, augmentation, fertilization, importation, respiration, derivation, emulation, urbanization, desolation, gentrification, ionization, remediation, amputation, disintegration, excitation, socialization, coloration, distillation, hibernation, immunization, implantation, commendation, electrification, gestation, confiscation, maturation, molestation, normalization, aberration, commercialization, habitation, misrepresentation, ovulation, pollination, simplification, amortization, lubrication, disinformation, oscillation, procrastination, damnation, sedation, connotation, deflation, magnification, resuscitation, revocation, sequestration, vindication, ejaculation, facilitation, stipulation, summation, devaluation, invocation, capitulation, indoctrination, infatuation, menstruation, predation, recitation, annotation, convocation, divination, fluctuation, hallucination, naturalization, retardation, revitalization, consecration, dilation, decentralization, dislocation, impersonation, pigmentation, preoccupation, veneration, dispensation, polymerization, dissociation, fortification, intonation, lactation, liberalization, negation, quantification, categorization, elaboration, fibrillation, hybridization, personification, victimization, consternation, discoloration, dissipation, intensification, abdication, germination, suffocation, syndication, demarcation, desalination, rejuvenation, castration, decontamination, democratization, insemination, ornamentation, adjudication, aggravation, appellation, desegregation, strangulation, inactivation, conciliation, conjugation, desecration, domestication, flirtation, orchestration, procreation, acidification, congratulation, deceleration, self-congratulation, tribulation, trepidation, dictation, nationalization, origination, overpopulation, rationalization, carnation, corroboration, elation, excommunication, miscommunication, centralization, coagulation, disorientation, equalization, triangulation, misinterpretation, perspiration, cohabitation, gravitation, dalmatian, inoculation, insubordination, perturbation, sedimentation, argumentation, instigation, marginalization, reconsideration, elongation, exasperation, expropriation, glorification, indentation, permutation, radicalization, recuperation, renunciation, reparation, alleviation, decapitation, discontinuation, laceration, renegotiation, refutation, denunciation, miscalculation, adulation, misappropriation, oration, subordination, unionization, decriminalization, enumeration, evocation, detoxification, exhortation, conflagration, nullification, pacification, personalization, crustacean, hyperinflation, incantation, internationalization, obfuscation, perforation, repudiation, sanctification, exhilaration, extrapolation, rectification, toleration, delineation, reauthorization, agglomeration, criminalization, jubilation, consummation, levitation, destabilization, falsification, insinuation, ligation, predestination, reinterpretation, canonization, glaciation, reconfiguration, reforestation
EY1 SH AH0 N Z	1	201	patients	4.91	patients (4.9),  operations (4.9),  operations' (4.9),  corp.'s (4.3),  nation's (4.0),  crustaceans (2.8)	patients, operations, operations', nations, nations', organizations, relations, applications, communications, communications', regulations, stations, stations', situations, locations, expectations, congratulations, conversations, generations, recommendations, publications, publications', corp.'s, investigations, negotiations, populations, corporations, corporations', organisations, donations, implications, variations, allegations, limitations, associations, observations, nation's, obligations, violations, complications, foundations, specifications, qualifications, calculations, illustrations, preparations, accusations, celebrations, combinations, destinations, telecommunications, telecommunications', modifications, nominations, reservations, demonstrations, installations, concentrations, decorations, explanations, medications, considerations, innovations, translations, representations, aspirations, notifications, mutations, interpretations, formations, examinations, presentations, indications, citations, revelations, alterations, creations, simulations, vacations, accommodations, fluctuations, plantations, configurations, occupations, evaluations, motivations, vibrations, invitations, organization's, transformations, consultations, adaptations, animations, appropriations, civilizations, administrations, administrations', administration's, collaborations, certifications, denominations, quotations, ramifications, sensations, congregations, hallucinations, association's, frustrations, elevations, excavations, declarations, manifestations, reparations, rotations, classifications, foundation's, deliberations, temptations, affiliations, registrations, vaccinations, valuations, station's, explorations, cancellations, connotations, correlations, delegations, inspirations, formulations, fortifications, generalizations, abbreviations, designations, deviations, imaginations, reputations, migrations, allocations, annotations, assassinations, meditations, constellations, corporation's, speculations, confrontations, deportations, compilations, orientations, oscillations, justifications, machinations, federations, incarnations, manipulations, tribulations, resignations, computations, determinations, evacuations, generation's, interrogations, permutations, affirmations, crustaceans, restorations, stipulations, inclinations, haitians, approximations, durations, imitations, informations, palpitations, eliminations, separations, lacerations, infestations, confirmations, aberrations, notations, proclamations, carnations, commemorations, estimations, characterizations, hospitalizations, federation's, realizations, educations, identifications, clarifications, accumulations, education's, fabrications, vocations, protestations, terminations, amputations, provocations, pronunciations
IH1 SH AH0 N	1	82	position	5.21	position (5.2),  physician (4.2)	position, addition, commission, competition, mission, condition, edition, definition, opposition, permission, tradition, recognition, transition, exhibition, composition, transmission, petition, acquisition, coalition, physician, politician, admission, nutrition, submission, musician, expedition, suspicion, tuition, ambition, ammunition, proposition, audition, prohibition, emission, technician, ignition, partition, demolition, exposition, intuition, magician, abolition, deposition, disposition, repetition, rendition, inhibition, inquisition, cognition, omission, extradition, decomposition, electrician, malnutrition, mathematician, fruition, superstition, imposition, remission, attrition, fission, pediatrician, sedition, intermission, clinician, juxtaposition, statistician, apparition, volition, predisposition, reposition, dietitian, requisition, obstetrician, premonition, patrician, precondition, supposition, contrition, titian, tactician, admonition
IY1 N AH0	1	65	arena	4.33	arena (4.3)	arena, argentina, nina, marina, christina, tina, serena, lena, katrina, regina, gina, angelina, latina, cristina, mina, sabrina, subpoena, medina, athena, selena, ina, kristina, burkina, ballerina, irina, dina, valentina, georgina, martina, catalina, herzegovina, lina, molina, mena, alina, selina, jena, reina, messina, katarina, magdalena, hyena, cartagena, rena, salina, sheena, paulina, sabina, edwina, cantina, farina, patina, pina, rina, xena, galena, rowena, spina, dena, wilhelmina, bettina, melina, davina, ekaterina, katharina
AE1 N AH0	1	59	santa	4.49	santa (4.5),  piano (4.3),  hannah (4.0),  santa's (2.9)	santa, anna, atlanta, indiana, piano, louisiana, hannah, montana, diana, banana, ghana, ana, lana, savannah, hanna, nana, havana, joanna, santana, americana, hana, ariana, rana, urbana, johanna, adriana, mariana, tatiana, jana, susanna, juliana, santa's, fontana, brianna, alana, deanna, susannah, savanna, kana, susquehanna, champaign-urbana, manna, quintana, morgana, bandana, cana, cabana, khanna, arianna, humana, arcana, texarkana, tropicana, copacabana, shana, christiana, liliana, georgiana, nanna
IH1 SH AH0 N Z	1	55	conditions	4.98	conditions (5.0),  politicians (4.5),  politicians' (4.5),  commission's (3.2)	conditions, positions, politicians, politicians', missions, traditions, musicians, musicians', emissions, physicians, physicians', editions, competitions, commissions, definitions, additions, admissions, submissions, acquisitions, exhibitions, ambitions, compositions, transitions, technicians, suspicions, petitions, auditions, expeditions, transmissions, munitions, clinicians, commission's, mathematicians, partitions, omissions, permissions, magicians, propositions, coalitions, prohibitions, electricians, electricians', superstitions, inhibitions, statisticians, repetitions, dispositions, depositions, renditions, pediatricians, mission's, preconditions, competition's, apparitions, obstetricians
EH1 R IY0	1	53	very	6.0	very (6.0),  carry (4.9),  mary (4.8),  jerry (4.3),  dairy (4.1),  bury (3.9)	very, carry, mary, harry, marry, gary, scary, larry, barry, jerry, vary, terry, perry, cherry, contrary, dairy, fairy, ferry, berry, bury, kerry, merry, hairy, carrie, carey, prairie, gerry, wary, canary, parry, cary, sherry, garry, terri, airy, derry, barrie, barre, teri, kari, cherie, carrey, clary, ary, sherri, kerri, remarry, sperry, arie, nary, cheri, sheri, ranieri
AE1 T IH0 K	1	53	democratic	4.73	democratic (4.7)	democratic, dramatic, automatic, diplomatic, static, problematic, systematic, traumatic, attic, aquatic, cinematic, pragmatic, charismatic, bureaucratic, ecstatic, erratic, pancreatic, thematic, aromatic, aristocratic, fanatic, climatic, schematic, enigmatic, pneumatic, asiatic, emphatic, symptomatic, hepatic, matic, electrostatic, idiosyncratic, melodramatic, adriatic, dogmatic, operatic, autocratic, asymptomatic, emblematic, programmatic, undemocratic, lymphatic, acrobatic, enzymatic, prismatic, monochromatic, asthmatic, socratic, rheumatic, axiomatic, psychosomatic, semiautomatic, numismatic
IY1 AH0	1	43	idea	5.36	idea (5.4),  leah (3.5)	idea, via, korea, maria, santa-maria, garcia, mia, diego-garcia, sofia, ia, sophia, tanzania, diarrhea, ikea, shia, leah, crimea, dia, tia, pia, tortilla, eritrea, ria, chia, diarrhoea, jia, rhea, thea, lia, judea, pizzeria, zia, urea, panacea, medea, galleria, dorothea, gonorrhea, cea, samaria, hosea, nicosia, althea
IH1 S T IH0 K	1	43	artistic	4.17	artistic (4.2)	artistic, realistic, characteristic, optimistic, linguistic, mystic, unrealistic, ballistic, statistic, autistic, futuristic, holistic, simplistic, journalistic, pessimistic, narcissistic, sadistic, idealistic, stylistic, logistic, cystic, opportunistic, nationalistic, antagonistic, materialistic, altruistic, deterministic, naturalistic, relativistic, humanistic, hellenistic, individualistic, heuristic, ritualistic, anachronistic, synergistic, militaristic, capitalistic, mechanistic, hedonistic, uncharacteristic, pluralistic, monopolistic
